File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF416OKR	fastq	reads	ENCSR819PCU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SETDB1-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF994PPJ		2609249113	Michael Snyder, Stanford	be3d613d2aac36f878e194316406f861		https://www.encodeproject.org/files/ENCFF416OKR/@@download/ENCFF416OKR.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF994PPJ	fastq	reads	ENCSR819PCU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SETDB1-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF416OKR		3110192682	Michael Snyder, Stanford	ac13915939d3ce0ab17fd3924b4b9b12		https://www.encodeproject.org/files/ENCFF994PPJ/@@download/ENCFF994PPJ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF196QBN	fastq	reads	ENCSR043UMW	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNF2-human	RNA					False	2017-11-18	ENCODE				3	1	101		paired-ended	1	ENCFF154EDL		2360855668	Michael Snyder, Stanford	69bbdb23dea00d5e5a731063447adf0d		https://www.encodeproject.org/files/ENCFF196QBN/@@download/ENCFF196QBN.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF154EDL	fastq	reads	ENCSR043UMW	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNF2-human	RNA					False	2017-11-18	ENCODE				3	1	101		paired-ended	2	ENCFF196QBN		2703900237	Michael Snyder, Stanford	10cec900409af61be70cb37e7d35855b		https://www.encodeproject.org/files/ENCFF154EDL/@@download/ENCFF154EDL.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF503PZC	fastq	reads	ENCSR043UMW	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNF2-human	RNA					False	2017-11-18	ENCODE				4	1	101		paired-ended	2	ENCFF163ZZV		3176332084	Michael Snyder, Stanford	3c6d436836cc5a02ab27a1bf871c31ab		https://www.encodeproject.org/files/ENCFF503PZC/@@download/ENCFF503PZC.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF163ZZV	fastq	reads	ENCSR043UMW	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNF2-human	RNA					False	2017-11-18	ENCODE				4	1	101		paired-ended	1	ENCFF503PZC		2785128991	Michael Snyder, Stanford	fb2ad0fddc1c2ffab7e70835dbc4f42f		https://www.encodeproject.org/files/ENCFF163ZZV/@@download/ENCFF163ZZV.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF117LIM	fastq	reads	ENCSR650QAK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SP1-human	RNA					False	2017-11-20	ENCODE				3	1	101		paired-ended	2	ENCFF433SSS		4214624333	Michael Snyder, Stanford	5a6a3b503a48e264bf8231449c41fbe2		https://www.encodeproject.org/files/ENCFF117LIM/@@download/ENCFF117LIM.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF433SSS	fastq	reads	ENCSR650QAK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SP1-human	RNA					False	2017-11-20	ENCODE				3	1	101		paired-ended	1	ENCFF117LIM		3662018186	Michael Snyder, Stanford	2576024e3d18cf7b05ad09b653da3629		https://www.encodeproject.org/files/ENCFF433SSS/@@download/ENCFF433SSS.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF359AKF	fastq	reads	ENCSR650QAK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SP1-human	RNA					False	2017-11-20	ENCODE				4	1	101		paired-ended	1	ENCFF689RIO		3174321971	Michael Snyder, Stanford	5392f0e87abe9597075a78ea3d22de87		https://www.encodeproject.org/files/ENCFF359AKF/@@download/ENCFF359AKF.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF689RIO	fastq	reads	ENCSR650QAK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SP1-human	RNA					False	2017-11-20	ENCODE				4	1	101		paired-ended	2	ENCFF359AKF		3649787846	Michael Snyder, Stanford	3cb54d03994cdcf95bba84f71dcec02d		https://www.encodeproject.org/files/ENCFF689RIO/@@download/ENCFF689RIO.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF887URQ	fastq	reads	ENCSR650QAK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SP1-human	RNA					False	2017-11-20	ENCODE				1	1	101		paired-ended	2	ENCFF185DZU		1976414171	Michael Snyder, Stanford	4ba3e3c7ae2af624cc725daf0d3a2770		https://www.encodeproject.org/files/ENCFF887URQ/@@download/ENCFF887URQ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF185DZU	fastq	reads	ENCSR650QAK	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SP1-human	RNA					False	2017-11-20	ENCODE				1	1	101		paired-ended	1	ENCFF887URQ		1830952047	Michael Snyder, Stanford	7c21f42d46d4a6563f2b892dcff28793		https://www.encodeproject.org/files/ENCFF185DZU/@@download/ENCFF185DZU.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF088VQG	fastq	reads	ENCSR731FEO	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	RNA					False	2017-11-18	ENCODE				3	1	101		paired-ended	1	ENCFF494YMY		1750094716	Michael Snyder, Stanford	4a0d29f51269f6a9ef276a9edc8cf192		https://www.encodeproject.org/files/ENCFF088VQG/@@download/ENCFF088VQG.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF122YKX	fastq	reads	ENCSR731FEO	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	RNA					False	2017-11-18	ENCODE				4	1	101		paired-ended	1	ENCFF029ACW		2355334117	Michael Snyder, Stanford	d6bc3fc3582b4ab95b1bbdd28fb3ec18		https://www.encodeproject.org/files/ENCFF122YKX/@@download/ENCFF122YKX.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF494YMY	fastq	reads	ENCSR731FEO	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	RNA					False	2017-11-18	ENCODE				3	1	101		paired-ended	2	ENCFF088VQG		1990608140	Michael Snyder, Stanford	3ca61e719d9106353991f115dabc0586		https://www.encodeproject.org/files/ENCFF494YMY/@@download/ENCFF494YMY.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF029ACW	fastq	reads	ENCSR731FEO	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	RNA					False	2017-11-18	ENCODE				4	1	101		paired-ended	2	ENCFF122YKX		2676905814	Michael Snyder, Stanford	953d52efe5332126b05607a50b36972f		https://www.encodeproject.org/files/ENCFF029ACW/@@download/ENCFF029ACW.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF712VVE	fastq	reads	ENCSR781XJD	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF143-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF576ZNK		2972485021	Michael Snyder, Stanford	f7710b31f093979ea1bee9f27ed19aa7		https://www.encodeproject.org/files/ENCFF712VVE/@@download/ENCFF712VVE.fastq.gz		Illumina HiSeq 4000	/files/ENCFF568AEP/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF576ZNK	fastq	reads	ENCSR781XJD	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF143-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF712VVE		2441437223	Michael Snyder, Stanford	dc6008edb820b7b64c4edb3b84c47e7b		https://www.encodeproject.org/files/ENCFF576ZNK/@@download/ENCFF576ZNK.fastq.gz		Illumina HiSeq 4000	/files/ENCFF297OZN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF704ZFM	fastq	reads	ENCSR781XJD	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF143-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF295ZGG		2963261425	Michael Snyder, Stanford	228d35aaa98ad85e7bc47cd06f948d19		https://www.encodeproject.org/files/ENCFF704ZFM/@@download/ENCFF704ZFM.fastq.gz		Illumina HiSeq 4000	/files/ENCFF586CLX/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF295ZGG	fastq	reads	ENCSR781XJD	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF143-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF704ZFM		2387524794	Michael Snyder, Stanford	2ecf916d7478ce99255beda93c49f20a		https://www.encodeproject.org/files/ENCFF295ZGG/@@download/ENCFF295ZGG.fastq.gz		Illumina HiSeq 4000	/files/ENCFF883YZS/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF032DDJ	fastq	reads	ENCSR850LOZ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				GATA1-human	RNA					False	2017-11-20	ENCODE				2	1	101		paired-ended	1	ENCFF819MUB		3088970706	Michael Snyder, Stanford	b429f5fa2f2332e92149117f1c9cdbb8		https://www.encodeproject.org/files/ENCFF032DDJ/@@download/ENCFF032DDJ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF883YZS/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF721APQ	fastq	reads	ENCSR850LOZ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				GATA1-human	RNA					False	2017-11-20	ENCODE				1	1	101		paired-ended	1	ENCFF683GZZ		2309310833	Michael Snyder, Stanford	1f4e85896b2cb9b98e31a6bd0e399ef2		https://www.encodeproject.org/files/ENCFF721APQ/@@download/ENCFF721APQ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF297OZN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF683GZZ	fastq	reads	ENCSR850LOZ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				GATA1-human	RNA					False	2017-11-20	ENCODE				1	1	101		paired-ended	2	ENCFF721APQ		2873870154	Michael Snyder, Stanford	b968871ac2cb27de1d959bfbbcbc0abb		https://www.encodeproject.org/files/ENCFF683GZZ/@@download/ENCFF683GZZ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF568AEP/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF819MUB	fastq	reads	ENCSR850LOZ	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				GATA1-human	RNA					False	2017-11-20	ENCODE				2	1	101		paired-ended	2	ENCFF032DDJ		3902859627	Michael Snyder, Stanford	9911dec2932bcdc262973c2d75d812c5		https://www.encodeproject.org/files/ENCFF819MUB/@@download/ENCFF819MUB.fastq.gz		Illumina HiSeq 4000	/files/ENCFF586CLX/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF432MRT	fastq	reads	ENCSR181WYS	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				WHSC1-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF773LSI		2320668906	Michael Snyder, Stanford	b9480acedc7a374b4148c8331f345b0b		https://www.encodeproject.org/files/ENCFF432MRT/@@download/ENCFF432MRT.fastq.gz		Illumina HiSeq 4000	/files/ENCFF297OZN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF660ZLK	fastq	reads	ENCSR181WYS	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				WHSC1-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF616TBC		3058397539	Michael Snyder, Stanford	738422d3c1c014a7cd31089c27198314		https://www.encodeproject.org/files/ENCFF660ZLK/@@download/ENCFF660ZLK.fastq.gz		Illumina HiSeq 4000	/files/ENCFF586CLX/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF773LSI	fastq	reads	ENCSR181WYS	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				WHSC1-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF432MRT		2787047049	Michael Snyder, Stanford	f972bb85ddc0625e04b77e76cab0d0bf		https://www.encodeproject.org/files/ENCFF773LSI/@@download/ENCFF773LSI.fastq.gz		Illumina HiSeq 4000	/files/ENCFF568AEP/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF616TBC	fastq	reads	ENCSR181WYS	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				WHSC1-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF660ZLK		2382517229	Michael Snyder, Stanford	dc63e4d5a88974d039c86e835574d3ef		https://www.encodeproject.org/files/ENCFF616TBC/@@download/ENCFF616TBC.fastq.gz		Illumina HiSeq 4000	/files/ENCFF883YZS/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF843BOP	fastq	reads	ENCSR181WYS	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				WHSC1-human	RNA					False	2017-11-18	ENCODE				3	1	101		paired-ended	2	ENCFF549EDG		2780815678	Michael Snyder, Stanford	b6c60ba9a82bd49053259b78434b3822		https://www.encodeproject.org/files/ENCFF843BOP/@@download/ENCFF843BOP.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF906HSB	fastq	reads	ENCSR181WYS	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				WHSC1-human	RNA					False	2017-11-18	ENCODE				4	1	101		paired-ended	2	ENCFF152ZVG		2382421801	Michael Snyder, Stanford	b87675b204fd6ce4492306b5af2bcba2		https://www.encodeproject.org/files/ENCFF906HSB/@@download/ENCFF906HSB.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF549EDG	fastq	reads	ENCSR181WYS	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				WHSC1-human	RNA					False	2017-11-18	ENCODE				3	1	101		paired-ended	1	ENCFF843BOP		2425482191	Michael Snyder, Stanford	782a50932587f9f0e6aa4c773b03702e		https://www.encodeproject.org/files/ENCFF549EDG/@@download/ENCFF549EDG.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF152ZVG	fastq	reads	ENCSR181WYS	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				WHSC1-human	RNA					False	2017-11-18	ENCODE				4	1	101		paired-ended	1	ENCFF906HSB		2033965348	Michael Snyder, Stanford	0d9bb7feefae41b4baece5926fe98b0b		https://www.encodeproject.org/files/ENCFF152ZVG/@@download/ENCFF152ZVG.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF487MPS	fastq	reads	ENCSR619EYC	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RFX5-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF086NJJ		1887479744	Michael Snyder, Stanford	8fafae5aab52ecb6505d0c5aa3cdd4b6		https://www.encodeproject.org/files/ENCFF487MPS/@@download/ENCFF487MPS.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
